top - 18:03:20 up 52 days,  6:27,  1 user,  load average: 0,04, 0,05, 0,04
Tasks: 528 total,   1 running, 522 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0,3 us,  0,3 sy,  0,0 ni, 99,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem : 128551,2 total, 112903,1 free,   2579,6 used,  13068,5 buff/cache
MiB Swap:   2048,0 total,   1242,9 free,    805,1 used. 124734,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
3290243 rmikhail  20   0   12600   4420   3428 R   6,7   0,0   0:00.01 top
   1747 root      20   0    2496      0      0 S   0,0   0,0   0:00.00 bpfilte+
   1913 root      20   0  239956    144      0 S   0,0   0,0   0:00.04 gdm3
   1923 gdm       20   0   19532   5452   4280 S   0,0   0,0   0:01.60 systemd
   1924 gdm       20   0  169896    152      0 S   0,0   0,0   0:00.00 (sd-pam)
   1931 gdm       39  19  585488   8076   5684 S   0,0   0,0   0:00.31 tracker+
   1934 gdm       20   0    7384    748    304 S   0,0   0,0   0:00.17 dbus-da+
   1944 gdm       20   0  240060    996    516 S   0,0   0,0   0:00.04 gvfsd
   1946 rtkit     21   1  152936    712    588 S   0,0   0,0   0:54.56 rtkit-d+
   1963 gdm       20   0  312816      0      0 S   0,0   0,0   0:00.00 gvfsd-f+
   1970 gdm       20   0  314400   1592      4 S   0,0   0,0   1:15.81 gvfs-ud+
   1997 gdm       20   0  317068    464      0 S   0,0   0,0   3:32.49 gvfs-af+
   2004 gdm       20   0  236048    396      0 S   0,0   0,0   0:00.01 gvfs-mt+
   2008 gdm       20   0  238456    384      0 S   0,0   0,0   0:00.01 gvfs-gp+
   2012 gdm       20   0  236220    352      0 S   0,0   0,0   0:00.01 gvfs-go+
   2016 gdm       20   0  553636    564      4 S   0,0   0,0   0:00.92 goa-dae+
   2026 gdm       20   0  315100   1244    392 S   0,0   0,0   6:47.17 goa-ide+
   2032 root      20   0  252580   2132   1472 S   0,0   0,0   0:00.65 upowerd
   2039 root      20   0  167020    476      0 S   0,0   0,0   0:00.12 gdm-ses+
